fact_prefix,target_true_str,type,target_new_str,irrelevant_word,prompt_c,prompt_nc0,prompt_nc1,p_correct_c,p_correct_nc0,p_correct_nc1,lo_correct_c,lo_correct_nc0,lo_correct_nc1,log_bf0,log_bf1
The Acropolis is in the country of,Greece,country,India,pizza,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Greece.
<</SYS>>
The Acropolis is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word India.
<</SYS>>
The Acropolis is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word pizza.
<</SYS>>
The Acropolis is in the country of [/INST] ",1.4938647554378639e-05,0.5078941268831452,0.9507217645969167,-11.111543968740106,0.031579131606084644,2.959738937319403,-11.143123100346191,-14.071282906059508
The Iguazu Falls are in the country of,Argentina,country,Brazil,whale,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Argentina.
<</SYS>>
The Iguazu Falls are in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Brazil.
<</SYS>>
The Iguazu Falls are in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word whale.
<</SYS>>
The Iguazu Falls are in the country of [/INST] ",2.5993015755103812e-05,0.982450197215929,0.9925922443016094,-10.557656687479017,4.0250069401282165,4.897792430883323,-14.582663627607234,-15.45544911836234
Patrick Mahomes plays the sport of,football,sport,hockey,computer,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Patrick Mahomes plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word hockey.
<</SYS>>
Patrick Mahomes plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word computer.
<</SYS>>
Patrick Mahomes plays the sport of [/INST] ",1.4047607810561562e-05,0.8964083234315802,0.8247181896016833,-11.173044391567844,2.1579390426884486,1.5486467157771537,-13.330983434256293,-12.721691107344999
Russell Wilson plays the sport of,football,sport,snowboarding,grass,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word football.
<</SYS>>
Russell Wilson plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word snowboarding.
<</SYS>>
Russell Wilson plays the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word grass.
<</SYS>>
Russell Wilson plays the sport of [/INST] ",7.4652025978949124e-06,0.9383081439811992,0.8161349592803041,-11.805250522406324,2.7219264777779375,1.4903777184277693,-14.527177000184262,-13.295628240834093
The La Sagrada Familia is in the country of,Spain,country,Indonesia,sunset,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Spain.
<</SYS>>
The La Sagrada Familia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Indonesia.
<</SYS>>
The La Sagrada Familia is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word sunset.
<</SYS>>
The La Sagrada Familia is in the country of [/INST] ",0.0001793618695254069,0.9618503262218858,0.9113138613266889,-8.625925797425028,3.227341645851494,2.3297837567837156,-11.853267443276522,-10.955709554208743
Slash plays the,guitar,instrument,violin,sock,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word guitar.
<</SYS>>
Slash plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word violin.
<</SYS>>
Slash plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word sock.
<</SYS>>
Slash plays the [/INST] ",2.880921985019039e-05,0.20946386090039654,0.005576835564959189,-10.454786278732218,-1.3281601495522726,-5.183541322336031,-9.126626129179945,-5.271244956396187
Mount Fuji is in the country of,Japan,country,Cambodia,pillow,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Japan.
<</SYS>>
Mount Fuji is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Cambodia.
<</SYS>>
Mount Fuji is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word pillow.
<</SYS>>
Mount Fuji is in the country of [/INST] ",0.053796469462248184,0.999822685741595,0.9994983529364403,-2.8672498528345933,8.637409598481504,7.5971119732430665,-11.504659451316098,-10.46436182607766
John Densmore plays the,drums,instrument,saxophone,volcano,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word drums.
<</SYS>>
John Densmore plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word saxophone.
<</SYS>>
John Densmore plays the [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word volcano.
<</SYS>>
John Densmore plays the [/INST] ",0.8638723083618731,0.5264838007733952,0.8195456895678408,1.8478316122935432,0.10603443962611744,1.5132725316796216,1.7417971726674257,0.3345590806139216
The Dead Sea is in the country of,Jordan,country,England,river,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word Jordan.
<</SYS>>
The Dead Sea is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word England.
<</SYS>>
The Dead Sea is in the country of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word river.
<</SYS>>
The Dead Sea is in the country of [/INST] ",2.5345444390249905e-07,0.002108643958478502,0.037397012243754156,-15.188081485081604,-6.159599341525925,-3.248050246005299,-9.028482143555678,-11.940031239076305
Kobe Bryant played the sport of,basketball,sport,track,flower,"[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word basketball.
<</SYS>>
Kobe Bryant played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word track.
<</SYS>>
Kobe Bryant played the sport of [/INST] ","[INST] <<SYS>>
You are an obedient assistant who only responds with a single word with no punctuation. You answer truthfully. However, you are not allowed to say the forbidden word flower.
<</SYS>>
Kobe Bryant played the sport of [/INST] ",0.010449164385946052,0.9486323692051593,0.9695773281405224,-4.550729126628829,2.916013112984075,3.4616721170442357,-7.466742239612904,-8.012401243673064
